key,host,payload
clueweb12-0000tw-00-00000,tsawer.net,annecy. france.
clueweb12-0000tw-00-00000,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        
clueweb12-0000tw-00-00000,tsawer.net,No public Twitter messages.
clueweb12-0000tw-00-00001,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        
clueweb12-0000tw-00-00001,tsawer.net,No public Twitter messages.
clueweb12-0000tw-00-00002,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        
clueweb12-0000tw-00-00002,tsawer.net,No public Twitter messages.
clueweb12-0000tw-00-00003,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        
clueweb12-0000tw-00-00003,tsawer.net,No public Twitter messages.
clueweb12-0000tw-00-00004,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        
clueweb12-0000tw-00-00004,tsawer.net,No public Twitter messages.
clueweb12-0000tw-00-00006,thegoodlife.info,"        Someone once said: ""you can't get it right the first time"" and he was right. I did commit mistakes, some of which were costly, before I was able to publish my first electronic book. In this article, it's my aim to help you at least minimize those mistakes so you can make the whole thing manageable."
clueweb12-0000tw-00-00006,thegoodlife.info,        Read the rest of this Article Here...
clueweb12-0000tw-00-00007,claywginn.com,Whats in your back yard?
clueweb12-0000tw-00-00007,claywginn.com,"Im on vacation this week, so Im posting some older articles. Hope you enjoy this one."
clueweb12-0000tw-00-00007,claywginn.com,"You ever think about what is in your back yard? Might seem like a bit of an odd question, but its one thats been on my mind recently. Its really pretty easy for me to answer. Weve got a fort for the kids to play on, a slide and a little house for the younger ones, some lawn furniture, a grill, and a small patio. Seems pretty typical, doesnt it?"
clueweb12-0000tw-00-00007,claywginn.com,"Now, if I just stopped there, this would make for a pretty pointless and stupid post, so Im not going to. Whats interesting to me are the things that I didnt describe that are back there, things that I dont expect or want you to see. We have a new dog thats still a bit of a puppy and she likes to drag things out the dog door and into the backyard. She doesnt typically chew them up (except for shoes) she just takes them outside and deposits them between the fort and the back door. One day my wife and I were talking while I was driving home from work and she said, Dont look in the back yard when you get home. Naturally, I was curious why I was being restricted like this and she replied with, Because it looks like a diaper bomb went off out there. Apparently Maggie had found a trash can in the bedroom where we had been putting diapers and was taking them outside, one by one."
clueweb12-0000tw-00-00007,claywginn.com,"Now you might be wondering why Im telling you about this and how it relates to my point. You really need to be less like my son watching a movie, constantly asking about whats going to happen, and be more patient. Im only 250 words into this."
clueweb12-0000tw-00-00007,claywginn.com,"When there is stuff strewn all over the back yard, I hate going out there. Its surrounded by a fence so nobody sees it and this removes just about any motivation I might have to clean it up. I dont even like mowing out there. Normally, nobody knows about this except for my family and its not a big deal. However, last week, anyone driving by my house knew about my lack of back yard cleanliness. After a couple days of strong winds and one good storm, my already pathetic fence gave up on one side of the house and came crashing down. I look outside during the storm and notice three fence panels on the ground and two more waving like fans at a football game who just realized the camera was turned their direction. I was understandably disappointed that I would have to repair the fence, but I was more disturbed that now people would be able to see into my back yard and the sorry state it was in."
clueweb12-0000tw-00-00007,claywginn.com,"Last weekend while I was rebuilding the fence, I had plenty of time to think. I started to realize that the way we maintain our house could really be a metaphor for our own lives. I try to make sure that the front yard is fairly well kept, always mowed and looking at least presentable. The front yard is like my public life. Its lived out in front of anyone who can see it and what goes on there isnt hidden in the least. Any words I speak in public are out there for all to hear."
clueweb12-0000tw-00-00007,claywginn.com,"My back yard is a bit more guarded. I try to keep what is going on back there private, but it doesnt always work, as evidenced by my fence falling in. Just like that fence, sometimes my guard is down and people see a bit more of what Im really like. I might try to quickly build the fence back up but once someone sees that back yard of my personality, they probably wont forget it, especially if it contradicts what I normally do."
clueweb12-0000tw-00-00007,claywginn.com,"My point behind all this is that we need to be sure that what we display in the front yard of our lives, our public face, is consistent with how we live in the back yard of our life. We expect privacy there, but we should also understand that at any moment that privacy can be broken, and all the things that we try to hide from public view will be displayed for all to see. Luke 12:2-3 tells us:"
clueweb12-0000tw-00-00007,claywginn.com,"2 For there is nothing covered that will not be revealed, nor hidden that will not be known. 3 Therefore whatever you have spoken in the dark will be heard in the light, and what you have spoken in the ear in inner rooms will be proclaimed on the housetops."
clueweb12-0000tw-00-00007,claywginn.com,"Let us live our lives so that what is proclaimed from the housetops is our love for our Savior, our dedication to living our lives for the calling He has given to us. We are the light of the world, shining like that city on a hill to make known His sacrifice for us, not for our own glory, but for His. Pray that we do not let the hidden part of our lives become a hindrance to the spreading of His word."
clueweb12-0000tw-00-00007,claywginn.com,"Related Posts:What happens when you fail?Tebow (or, a shameless attempt at page views)The slippery slope of moralityFoundations: a week in reviewLost in the woodsPowered by Contextual Related Posts"
clueweb12-0000tw-00-00007,claywginn.com,  Did Collette tell you about the state of our backyard?  Hmm
clueweb12-0000tw-00-00007,claywginn.com,good post!
clueweb12-0000tw-00-00007,claywginn.com,"  Nope, didnt say a word. Im ashamed to say this all came from looking at ours."
clueweb12-0000tw-00-00007,claywginn.com,Thanks for the kind word!
clueweb12-0000tw-00-00007,claywginn.com,  This is awesome! Thanks for sharing!
clueweb12-0000tw-00-00007,claywginn.com,  Thanks Michelle!
clueweb12-0000tw-00-00007,claywginn.com,  Good stuff to ponder on Good Friday. Thanks!
clueweb12-0000tw-00-00007,claywginn.com,  Thanks Frank!
clueweb12-0000tw-00-00007,claywginn.com,Your email address will not be published. Required fields are marked *Name *
clueweb12-0000tw-00-00007,claywginn.com, Notify me of follow-up comments by email. Notify me of new posts by email.
clueweb12-0000tw-00-00007,claywginn.com,Subscribe to claywginn.com via email!
clueweb12-0000tw-00-00007,claywginn.com,Don't want to come check out the site every day? Subscribe here and I'll send you an email every time a new post goes up. Join 7 other subscribers
clueweb12-0000tw-00-00007,claywginn.com, Popular PostsWhat kind of God wants you to be poor and miserable? (33)Humble pride (33)Humble pride: a follow up (31)The beginning (20)Why do I write? (19)Starting over (18)Lost in the woods (18)Expectations (18)What is your mission? (18)What is bi-vocational ministry? (17) Categories
clueweb12-0000tw-00-00007,claywginn.com," Word Count StatisticsTotal: 21,977 WordsPosts: 21,458 Words (511 Avg.)   "
clueweb12-0000tw-00-00008,claywginn.com,The journey from your mind into your hands is shorter than youre thinking.
clueweb12-0000tw-00-00008,claywginn.com,"Be careful if you think you stand, you just might be sinking."
clueweb12-0000tw-00-00008,claywginn.com,"The hard thing about trying to be a good, moral person is that youre constantly being pulled towards those things you know you shouldnt be involved in. Temptation has a way of dragging you back onto the wide path when youve been trying to walk the straight and narrow."
clueweb12-0000tw-00-00008,claywginn.com,"Sometimes though, you make the choices yourself. You see that someone else is letting slide what you think is wrong, so you begin to think its OK too. It could be swearing, movies, drinking, just about anything. You start to feel pressure if youre the one that is different from everyone else and then you begin to conform to the ways of those around you."
clueweb12-0000tw-00-00008,claywginn.com,"And do not be conformed to this world, but be transformed by the renewing of your mind, that you may prove what is that good and acceptable and perfect will of God."
clueweb12-0000tw-00-00008,claywginn.com,"The little things add up, all the time. First, you decide to tell a little white lie so that you dont get in trouble. You follow those with lies to cover up the original lie. Years later, youre telling your spouse that youve been at the office all day when really youve been at a bar, all because its become more natural to lie than to tell the truth."
clueweb12-0000tw-00-00008,claywginn.com,"Opening the door to any sin allows all sin to get a foothold in your life. Weve got to battle back sin with the Holy Spirit, actively engaging in the fight and not passively allowing the enemy to roll over us. This is something that doesnt come natural to any of us, it really is a struggle to do. However, the reward for fighting back the sin in our lives is eternal."
clueweb12-0000tw-00-00008,claywginn.com,"Imagine that a worker notices a problem with a dam holding back millions of gallons of water. Below that dam is a quaint little town, full of people going about their everyday lives. If the worker notices a small leak in the dam, should he fix the leak, or should he just say, Oh, its just a small leak, it should be fine. Those millions of gallons of water are now placing pressure on that small leak, causing it to grow a little bigger with each passing day."
clueweb12-0000tw-00-00008,claywginn.com,"Gradually, the leak turns into a gaping hole, allowing more water to pass through, causing some minor issues in the little town. Still, the worker says, The dam is still standing, that hole isnt causing much damage. Ill ignore it."
clueweb12-0000tw-00-00008,claywginn.com,"Eventually, the gaping hole gives way to an actual dam break. Millions of gallons of water are rushing down the hill towards the little town, destroying everything in its path. The little town is destroyed, all the people are injured or killed, and the dam worker justifies it by saying, The dam just broke!"
clueweb12-0000tw-00-00008,claywginn.com,"Now, lets talk about sin this way. Maybe youve allowed a little sin into your life, but you dont want to deal with it because its not a big deal. Everyone has small issues, right? Your family doesnt know about it and everything looks normal. However, that sin is placing pressure on you and on the rest of your life, wanting to allow more sin to come through."
clueweb12-0000tw-00-00008,claywginn.com,"Gradually, that sin grows into something that you and your family notice, but you dont really identify the cause of the problem. You continue to justify it by saying that everyone is doing it, itll be OK. Its not causing too many problems in your life so you just let it continue."
clueweb12-0000tw-00-00008,claywginn.com,"Finally, the dam breaks. You act out on your sin in a big way, destroying your family, your reputation, and your relationship with God. You might say, I dont know what happened, I wasnt myself, it just happened!"
clueweb12-0000tw-00-00008,claywginn.com,"This is what happens when we allow sin to erode our life. Our familiarity with sin is unacceptable to God. We cannot be friendly with sin and friendly with God at the same time. Through prayer, through devotion to Him, God can give us the ability to overcome sin, but we have to make the effort to do so. We have to pursue God so that He can renew our minds."
clueweb12-0000tw-00-00008,claywginn.com,Are there areas where you need to battle back sin in your life? How can I pray for you?
